,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_44,Cov_45,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_54,Cov_55,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_44,C_45,C_47,C_48,C_49,C_50,C_51,C_52,C_54,C_55,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,1140.06033711792,1490.09457734795,37.0767623675275,33.9781968012333,31.5758924333606,28.9232032613062,22.2092509990715,16.0973270649404,4.34471429217911,3.91809462058694,7.1007281795827,18.8461988060385,16.7742984970632,-27.2211875808743,-24.4622024425173,-25.8506257557105,-24.4657945031578,-15.3558180162452,0.574135084898371,14.5014447918628,27.4225019638028,-17.424531872724,-5.37633871670075,2.24589736227211,11.4059775474177,20.3972930009504,26.7038870350679,33.1484635163294,38.2417457144854,36.0151156254238,-15.5022714156355,-12.8035429935091,-9.83168923549319,-11.6421059873341,-12.3898609818799,-9.30580138842405,-28.5778329013168,-33.276749208924,-23.4429645868185,-45.4090847655097,-69.7355497159405,0.46313771236869167,-0.3375707273653398,-0.03708214673437627,-0.012203580517581473,-0.10016684707665499,-0.005942563276991311,0.08321288090822188,0.2204705651338936,0.018867793318340632,0.02085254783541293,0.027454939811332055,0.02160442462692963,-0.029994007794234504,0.09490260737999241,0.02813886059632915,-0.03676747407005606,-0.1329500795391842,0.0796573607316391,0.039343974993488906,0.002636814999809616,-0.06864156597451687,-0.04425072402778357,-0.06533674246924917,-0.012530842044023662,0.03922348718661622,-0.011882139412872347,-0.0018846217314414141,-0.010638330045289031,-0.04520028044383462,-0.0025385039076176496,0.009321892371758778,0.016844202768623903,-0.06995908664321793,-5.729065939859282e-05,0.10139717983198017,-0.08735115208550734,-0.01956642063130861,0.06003802696823761,0.00389825686246137,-0.03807064469692923,0.01705686880551755,7.639265873015874,33.76463145242248
1,1490.09457734795,1962.08964583659,42.9482647621106,40.9112748765179,39.4161517455923,37.3574200167691,29.9827375606564,22.7163183391793,7.72764235665587,7.18744739909791,11.0900469764375,24.7805141003951,22.200702517444,-33.751156879021,-31.8994990719551,-34.9140435684419,-34.3073970880494,-22.0406559882502,-1.17463708556732,16.145200790229,31.8782781904633,-29.6163902024163,-13.6798184944943,-3.33450677002589,8.91110968017763,21.4542245970046,30.9902190309233,40.6251275676112,48.4615224258446,47.1271037298384,-21.0538755482745,-28.4038953509755,-24.4655430954241,-24.1976519614553,-23.2497422678162,-17.6611850180162,-40.2722757870672,-47.0517932349359,-31.1679275703133,-53.362751651279,-79.4217661863448,-0.3375282506543901,0.27550216329647553,0.030994415486186897,0.004434583625567471,0.06949684263851806,-0.0033984338591710674,-0.05372495670591012,-0.1733678517381903,-0.015716080295819473,-0.013898322006197294,-0.014971628875961668,-0.019067563312129884,0.011414638148992783,-0.06501548800113939,-0.01746682522238997,0.03049728000177469,0.11381332390039545,-0.07217818161419297,-0.02536817098707107,-0.0026114482937079275,0.04456147762804195,0.03962588247311746,0.053163231679822065,0.011651557071623282,-0.036226404135264,0.008907448307498667,0.0006220769570246228,0.00751615380064208,0.02913275453349691,-0.010320455942632291,-0.0018197615730852733,-0.006713937229002801,0.05358052431208018,-0.003181827336977779,-0.08624182996031184,0.06405334647990653,0.016333079181263158,-0.03208982881841882,-0.009946372247816871,0.028456836169440874,-0.012335495813982324,9.116626984126984,44.29536822102951
2,37.0767623675275,42.9482647621106,24.9228237079554,21.8214530199364,17.9609351774079,13.4290381517424,8.70591721784611,4.40225499593899,-0.499239483236667,-0.839838668142208,1.25671297077675,5.6972585031988,3.99659722536591,-2.00298638008803,-4.21819032246488,-3.85072566562158,-2.6812326246975,-3.69703089938338,-2.56564596319559,-1.60264364190643,-2.36344184829598,0.643374912494454,2.27806308996914,2.6111367943403,4.13755573629652,4.9016013938427,4.30082064334024,2.82714678181014,1.34161781966096,-0.679270421348658,-3.41803394588119,4.23894315995668,6.17967236004105,3.5978495411081,1.83352214029999,1.2786230168948,0.0726762110195813,-0.810210031614308,-7.03080181661883,-19.7040185740818,-32.2822676158469,-0.03697409098669422,0.030910602480910866,1.6131229522013968,-1.194170218389144,-0.2533009211134923,-0.1077737595174869,0.056283127171599195,0.16631734313015906,-0.011388221263926681,0.12262085451081038,0.10812256176906024,-0.030787986510999146,-0.3701708073713154,-0.25980398903422475,0.3400295671634323,0.19267190278369664,-0.014741154968024894,-0.20426597857274456,0.26966112282289334,0.2967555146742643,-0.08441428347773927,0.007505613607274047,-0.05734968110661036,0.08987597451632633,-0.028662483236927147,-0.05581619639211455,-0.29973067823115557,-0.2199173546383669,-0.0791100848172921,0.275961148618044,-0.012691552139117272,-0.08544776627856979,-0.055750704278236286,-0.009995443678293093,-0.015464663867470335,-0.02348493337078857,0.17477074143925397,-0.041247514168257025,-0.02503150776763935,-0.08751863172956398,0.040412694598617516,0.6745436507936506,4.991274757810414
3,33.9781968012333,40.9112748765179,21.8214530199364,19.9497928493236,16.8019810765756,12.7792460668189,8.58621338165001,4.45955032086005,-0.170046431105048,-0.912155936765219,0.937352328707448,4.94039598760611,3.20465983671672,-1.92335663124337,-4.06564176596802,-3.95880898795687,-3.15280303822489,-3.92538629732004,-2.48319731415424,-1.55369088483524,-2.67036981651625,-0.594425308981507,0.817521997746453,1.00903990290094,2.45734041334936,3.37689970372197,3.01198996572749,1.90693107462413,0.851410768358358,-0.413619310383208,-2.85042418440414,1.47833756617365,3.15196142998231,1.02432619467635,-0.503188225555822,-0.83394818778725,-0.891845301470926,-1.90370039159198,-7.11841639363453,-17.9847642044913,-29.1625401687943,-0.012909851657279654,0.004707641291182474,-1.1956903318898509,2.7287515549995263,-1.1800451453795542,-0.4037598115937391,-0.041713541396919525,0.05965497351664231,0.007964287288816716,0.01889535640989597,-0.13094832541822068,-0.04499970439095652,0.15593067618875892,0.06408227334753457,-0.16429596098676594,0.1443108022073247,0.03506132906163961,-0.08430884761949628,0.09012617018315568,-0.47568125436852177,0.2931166509690914,-0.07309952949473919,0.04025839343612787,0.020705725547679067,0.005246482368527211,0.06637451486815715,0.01826743849863233,-0.011243415505259698,0.021906817272784124,0.052382372819324695,0.003917836124951578,-0.05173576091754325,0.039953431852787866,0.03399143684263855,-0.03640510400570237,0.07741360174418402,0.06110351467038875,-0.24585678894611737,0.08714676890809486,0.05960683388461106,-0.009151525336912025,0.1302380952380951,4.465399517324697
4,31.5758924333606,39.4161517455923,17.9609351774079,16.8019810765756,14.7085957939929,11.4500009516613,8.04960701253077,4.37890657686967,0.29169661489918,-0.573532752061093,1.01209365776176,4.23564366903743,2.69604195808251,-1.48174833815498,-3.67193862804114,-3.59383997070905,-3.20776948096241,-3.97142770012812,-2.59661954265604,-1.73582221356988,-2.41490126327008,-1.26080778052229,-0.0309523037591613,0.183855954439578,1.45919610603802,2.41780028500095,2.20624787887748,1.39449981629085,0.808243394214955,0.114772068160655,-2.32884045965676,-1.43808489622006,0.242233846380199,-1.15862866306266,-2.12584835419124,-2.04241589671197,-1.4750508655813,-2.83595755096257,-7.09166341130867,-15.7890969651057,-25.1085594395349,-0.1000009281587863,0.06926464903509166,-0.2549551582828697,-1.1824209996985184,3.261500924366061,-1.6544206206985441,-0.3037933676257136,0.003306965796683577,0.014593721216294235,-0.10711786121763592,-0.012640349478828425,-0.07507724454531034,0.19905165545011022,-0.008568789105671886,-0.027102845876436098,-0.24679880442597563,0.059867035257574065,0.12553136611978472,-0.20697057924744586,0.059406112216547284,-0.01492784437464924,0.021972360842592114,0.24705357364497804,-0.037231497002143045,-0.06325177533891906,-0.26932375604443204,0.13559124310433723,0.2373886269860316,0.05173102542263862,-0.03403288880910455,0.027825511343266874,-0.07055438462490639,0.052616851375906784,0.02465330193986773,0.012324813254178143,0.1379798380816386,-0.16459194873731633,-0.10982051756360581,0.12131547567259059,0.060792175845147296,-0.029495948542241798,-0.516845238095238,3.83387477547101
5,28.9232032613062,37.3574200167691,13.4290381517424,12.7792460668189,11.4500009516613,9.28923102698934,6.91575831849384,3.97430121329299,0.811226117861082,-0.155468943819831,1.10274526947423,3.57285837889626,2.32507687147768,-1.235472329001,-3.15167865006937,-3.24594318474789,-3.122716303256,-3.68419698951213,-2.11716748562268,-1.22940743109664,-1.3601945047484,-0.909255325060394,-0.0279867089020057,0.0359864107777266,1.0266871164422,1.90544561287663,1.95596803596077,1.55478972839844,1.33990015746075,1.08418728422206,-1.2232663142001,-3.75706405846768,-2.27310329904926,-3.10139580690981,-3.66607743837048,-3.39942472816527,-2.44245143613382,-3.60172996170201,-6.28845114624866,-12.9292702630561,-20.5017245509007,-0.005397595114335016,-0.0031242549858952326,-0.10964019624058192,-0.40895928189488084,-1.6486162465537524,4.316406674352598,-1.6230855675019065,-0.33461580501474797,0.0038905052591839294,0.007961791994614763,-0.0034845806822279344,-0.016460731738352618,0.03720781319097665,-0.003079041653423,-0.007205390965793967,-0.05071912342701821,0.006815548409857353,0.04953300827935229,-0.025774405814415667,0.033613020991034095,-0.028385506057745948,0.002529309091970701,0.004785311798423625,0.011798496604812846,0.01362049163735087,-0.052693428464948955,0.03513009397357439,0.1035921196920853,0.0467759102294743,-0.16359959397011575,0.010719408799542644,0.12212261046143831,-0.10234269688667802,-0.009311003037651098,0.06632936497507688,0.02042445266906456,-0.05491686003424799,0.030927661634855132,0.008726896269996681,-0.006394415579590064,0.003021829861913367,-1.1524206349206347,3.046183025852081
6,22.2092509990715,29.9827375606564,8.70591721784611,8.58621338165001,8.04960701253077,6.91575831849384,5.68836726100881,3.49919537715593,1.1944316387373,0.149581536875395,1.1184949172203,2.84018721969651,1.95419810486321,-0.773526576850714,-2.46811978346031,-2.74217064547158,-2.91390496671686,-3.26337502016386,-1.50949164559887,-0.630906081398866,-0.24161869995514,-0.391189510058409,0.0605276393924233,-0.0586463497663028,0.630425785726694,1.40637607013443,1.69200310080977,1.67147036490607,1.81249091652834,1.87401183193476,-0.263540916183762,-6.2790170802357,-5.11566746816789,-5.19714298770699,-5.18318951471292,-4.57839584390701,-3.15635016067189,-4.15318233701439,-5.37573127466871,-9.8570459453574,-15.5780099496184,0.0834678068539114,-0.054082376756108226,0.04857147088331084,-0.03947686592774784,-0.3060292870054378,-1.6225816700300302,3.4530019845732665,-1.0788614950346103,0.039268023994226034,0.19293178751508844,0.013867932032367532,0.0015511035195266327,-0.047770238357281565,0.052557167302169985,0.010247595161335395,0.01975850244305303,-0.011637231542502267,0.02864600363172852,0.01098559288720055,0.07144018975887678,-0.08691997241736524,-0.0233977445330027,-0.16028160453663973,0.029573090694949785,0.11065208874949398,-0.014173421601302088,0.01605377772342928,0.03754385466108752,0.1737906770043959,-0.5490254645425723,0.08365435984361877,0.3322490467999143,-0.1748401340217898,-0.04266087202173492,0.04458683991594343,-0.0995631080097845,-0.03979661956579956,0.24585819750963206,-0.12061442286975822,-0.10091556542966577,0.04360751839894217,-1.8335515873015873,2.382932491911764
31,16.0973270649404,22.7163183391793,4.40225499593899,4.45955032086005,4.37890657686967,3.97430121329299,3.49919537715593,3.62271730914588,1.98637586841986,0.831137192698118,1.40181014792777,2.31826758940261,1.78106773552644,-0.0017913257923253,-1.06734942623857,-1.17853373638576,-1.25744484174868,-1.60863159334568,0.144978907667046,0.803166634274681,1.248757392282,0.442197608969189,0.325517500516096,-0.156602200342441,0.0380966251439743,0.544711414464309,0.887353647470001,1.07776328184002,1.37830255432558,1.53024707734825,0.875104195405392,2.80948706968776,2.08459529452565,1.1603469276942,0.136622013856873,-0.461333005304145,-0.325881442696168,-2.7540006412976,-3.99615603223532,-6.31548870242015,-10.2754800346286,0.22038313522640826,-0.17337329665707438,0.16577680817107776,0.060697968008361795,0.006503823336499413,-0.3340256691654598,-1.0788236188542886,2.1075347015583197,-0.12636533093538113,-0.21047430035579043,-0.07891355286713139,0.11033522722992846,-0.1465267503610009,0.062132530251160625,0.04183704274124975,-0.020411147652136738,-0.22783505012907992,0.2571900254846915,0.06273010198134168,-0.06352715463378586,-0.10429092825494476,0.018149438927615617,-0.3424925224089318,0.3195586207010108,0.19307271338135218,-0.09102813476407212,-0.08704207465420684,-0.09127310141164069,-0.19159154319163021,0.49750746545753066,-0.14173139892860023,-0.22110686172760374,0.10194799105461182,0.017132202980418024,0.11083664999094092,-0.22614229412188322,-0.15758791841677508,0.36936059390370896,-0.09332836427414519,0.0209951145960302,0.013545656694508692,-2.432539682539683,1.9007149468412876
32,4.34471429217911,7.72764235665587,-0.499239483236667,-0.170046431105048,0.29169661489918,0.811226117861082,1.1944316387373,1.98637586841986,9.93832343550447,3.74453837485472,2.73301743456,0.818068721421251,-0.278049622309319,-0.834865095424327,-0.383382883960896,-1.04891225688522,-1.01914304035572,-2.10383844832504,-1.26945105371714,-0.752377008532071,0.0472213136514519,0.268515049816651,-0.164070641757815,-0.590657491595472,-0.582662792253619,-0.20870067790509,-0.0145124608956658,0.294845939041298,0.245542029472705,0.750075567223978,-1.70415758442273,-0.515928340062494,1.48276967482576,0.0529085159607593,-1.45169106927599,-2.70516380257106,-3.29830542565229,-2.85899653878758,-1.02771905890991,3.12640497552375,5.83749913674651,0.018430017478539257,-0.015429308275763633,-0.012328239062422962,0.006822399480618831,0.011371794326822565,0.003242819711039599,0.038574084200271176,-0.12685907104458502,0.4367993297349481,-0.2500893155183551,0.07161989244854054,0.027602737241137383,0.020628732817097217,0.0100900121660821,-0.017547088094740006,-0.018547469690379365,-0.08193961803456305,0.06234383378383805,0.013582300228474837,-0.0279649150620405,0.033017182761068214,-0.07305771593195015,-0.028381255213616396,0.03977713662522788,0.036810939321815374,0.001954166309399916,0.01105442320445,-0.004828831678527257,0.0025182780710043084,-0.061911265471111934,0.05691809559328142,0.011399464694418299,-0.10735055053144149,0.0416533546162741,0.16272184427561742,-0.06916997665914286,0.027961947974435443,-0.06127660961835798,0.07280061794609301,-0.02362835569777335,0.009439439591868047,-1.1327777777777779,3.150924219257656
33,3.91809462058694,7.18744739909791,-0.839838668142208,-0.912155936765219,-0.573532752061093,-0.155468943819831,0.149581536875395,0.831137192698118,3.74453837485472,6.5447496807152,6.95466420775265,2.87718966032329,1.32542647595826,0.0770943536513262,0.135656181921994,-0.510546300732695,-0.682476923353638,-1.5207863419178,-1.59032322431865,-1.26642040580441,-0.153946281351993,-0.20164764763805,-0.373366211110419,0.102478591170959,-0.232363763823724,-0.333954519330467,-0.465632986431467,-0.520317712845289,-0.871254663806437,-0.0524992655789269,0.0160501308073623,1.23524346311087,4.2013193054818,3.62862038804615,3.14185499364723,2.20708436443337,1.00760574437551,2.84322356470246,5.30493990387632,18.8278406348532,31.7325833175308,0.020382874172808107,-0.013654552919311492,0.11897423633529733,0.018888269431375712,-0.09986472408005613,0.00894334358657108,0.19437456334562392,-0.2114426605674939,-0.24977541001644102,1.8982894905438572,-0.9937901594761495,0.012219415410356501,0.029335479515778546,-0.21113285097670256,-0.015520165542896099,0.22829600692577534,-0.0050395320699837785,0.06300357811625241,0.10557077865276251,0.19065115379548067,-0.09298543484907829,0.10708081152656058,0.08326875587931104,-0.06514387737750973,-0.009516463115816552,-0.006609782954325571,-0.1373708498105761,-0.1372725100843389,0.14851926169715365,-0.14409224557453745,0.001832518135564984,0.18279665356769134,-0.07612583228271745,-0.17356465790498182,-0.303765558999198,0.27766269015621386,-0.06027796947392011,0.1927164644334757,-0.3559654436946831,-0.046620228217082366,0.033422704746404935,-1.098888888888889,2.556315645751752
34,7.1007281795827,11.0900469764375,1.25671297077675,0.937352328707448,1.01209365776176,1.10274526947423,1.1184949172203,1.40181014792777,2.73301743456,6.95466420775265,10.6720808588761,6.50960003653176,4.7472342598216,0.781009343960606,-0.0015020581817513,-0.773203641786907,-1.52326967370968,-1.88919769989044,-0.771451256175938,0.250324846897476,1.97080548270883,1.48443062660904,1.060674675766,1.36653762951646,0.75859321571574,0.381934370317264,-0.046934806852304,-0.451094006809946,-0.886455215044878,-1.29662567696487,-2.37401495268485,-3.30970084689165,-1.08556743532739,-0.676494518120682,-0.278648301492012,0.074757943474033,-1.64146732747244,0.33280556842086,2.61831178415595,24.3194869578202,44.9682960623535,0.02716734225252798,-0.014731130544945388,0.10545900188538627,-0.13021711614096426,-0.01352583720685061,0.00023870928664382584,0.014354917567878128,-0.08111744077764758,0.07150755923166735,-0.9934719760649622,2.1498589618999118,-0.9195562017475739,-0.22683421811700136,0.05294737310185293,0.02686471952440955,-0.07091209468224464,-0.21985715035473194,0.173878657277576,0.3802985609625522,-0.1334147754732978,0.014849056195576239,-0.015115650028373132,0.057022905498230296,-0.15551531743973535,-0.09397588512105338,0.0011471276696618119,0.00199185439457921,0.006991831990387582,-0.009294060946966137,-0.04536836490067234,0.00817047227482748,-0.05823156971476549,0.0789819608886806,0.013879172618563059,-0.07732048832023941,-0.04523360896662097,0.047114393586105426,0.13730516922860697,0.1738146500098608,-0.15826230757998563,-0.0801734630497024,-0.6830555555555556,3.265284192666255
35,18.8461988060385,24.7805141003951,5.6972585031988,4.94039598760611,4.23564366903743,3.57285837889626,2.84018721969651,2.31826758940261,0.818068721421251,2.87718966032329,6.50960003653176,9.16464527458493,8.74265497655799,3.22592127789725,1.85624000201897,0.948170873434185,0.121530528041327,0.247964555613442,1.92175499598422,3.54849611327026,5.73781516558794,4.46713584595009,3.03070922085501,2.88103617748505,2.25542190051225,1.69911117365484,1.30153390604611,0.793034685386356,0.252315092675815,-0.494658531319922,-2.28697915744856,-3.87696249416796,-3.31880780571717,-2.98313012202114,-2.65797139914592,-2.37286485802553,-3.46043077078804,-2.77008526469845,-2.40421823026418,-4.22633727636976,-7.15982134863892,0.020969592723548144,-0.018524639149224573,-0.03256023157001753,-0.0459912918219718,-0.0807488141393709,-0.017520846749217906,-0.002180647632979102,0.10943736335137379,0.02715317894951432,0.010974512861230275,-0.9194504876886315,1.6341530518429352,-0.650945540768899,0.019360165680355305,0.14551213973236127,-0.06248020507315745,0.07874715116314944,0.05881303410594323,-0.15744651269942553,-0.09609162326635706,0.013597709679686,-0.040972205077404705,-0.005739423252261559,-0.09625552134973032,0.01078129539471116,0.16733949170000068,0.07893517437355863,0.04362798248089284,-0.052775431475942484,-0.027969895048217498,0.05137637355646973,-0.049749036074041283,-0.06677429083548993,0.039155681099067474,0.2268132314490918,-0.08014068435454429,0.043238552816309395,-0.1474995931992063,-0.01640946412535514,0.05314290833422412,0.05254686647212885,-1.1061111111111113,3.0256644352249196
36,16.7742984970632,22.200702517444,3.99659722536591,3.20465983671672,2.69604195808251,2.32507687147768,1.95419810486321,1.78106773552644,-0.278049622309319,1.32542647595826,4.7472342598216,8.74265497655799,12.1096587643678,9.73056828620567,8.38049914653912,7.02215095286826,6.17866757796047,7.35001572923095,4.54856107038489,6.14338628342767,9.20436756897993,7.32558900082805,3.82087926028958,3.01795354031877,2.2841855026799,1.6165522195951,1.09123253118143,0.434203046572078,-0.474758633423827,-2.00854631879464,-3.74467574014873,-6.83171642474788,-5.92250254672551,-3.35598773096691,-0.854765183668871,0.700586435462155,0.548781771605562,0.279036934413197,0.201328253670555,-6.13077690133219,-13.1235999873231,-0.029318176425092986,0.010780441241432591,-0.367966029663567,0.15686203474896487,0.1982684806251858,0.03702951732660047,-0.04814618967906182,-0.14470799990896382,0.021120188542787518,0.02928561033630595,-0.2271217101378298,-0.6507260589087378,1.2646483202042604,0.03912461616779157,-0.3513264224540234,-0.0270682406555377,-0.028325821692190244,-0.05201044600931652,-0.3568957585382139,0.15526330376912467,-0.07905129141247827,0.01576105318107572,-0.06472291975500791,0.014934137243197183,0.056998113483296996,0.10519973805833684,0.1065760816062999,-0.03739400758047187,0.02827492557527112,0.03333828813003031,-0.06637213358451703,0.06410324500132233,0.065204491143721,-0.004195840952477437,0.02015861596299153,-0.07709281019037797,-0.001780697208007573,-0.08744226961503235,0.07943350953424323,0.09862751453717805,-0.025083070272427004,-0.29583333333333334,3.4784563766659224
